Date,PM10,SO2,CO,O3,Max,Critical Component,Category,Indeks,Baik/Buruk
4/14/2020,26,1,30,6,30,CO,Good,1,Baik
4/15/2020,42,1,36,12,42,PM10,Good,1,Baik
4/16/2020,60,2,50,16,60,PM10,Moderate,2,Baik
4/17/2020,59,2,49,11,59,PM10,Moderate,2,Baik
4/18/2020,19,1,46,17,46,CO,Good,1,Baik
4/19/2020,32,2,56,9,56,CO,Moderate,2,Baik
4/20/2020,52,2,67,16,67,CO,Moderate,2,Baik
4/21/2020,52,2,53,13,53,CO,Moderate,2,Baik
4/22/2020,34,1,37,11,37,CO,Good,1,Baik
4/23/2020,32,1,27,10,32,PM10,Good,1,Baik
4/24/2020,18,1,19,8,19,CO,Good,1,Baik
4/25/2020,27,2,31,2,31,CO,Good,1,Baik
4/26/2020,21,1,64,6,64,CO,Moderate,2,Baik
4/27/2020,25,1,22,28,28,O3,Good,1,Baik
4/28/2020,24,1,58,19,58,CO,Moderate,2,Baik
4/29/2020,41,2,50,14,50,CO,Good,1,Baik
4/30/2020,32,1,37,14,37,CO,Good,1,Baik
5/1/2020,32,1,30,9,32,PM10,Good,1,Baik
5/2/2020,11,1,20,9,20,CO,Good,1,Baik
5/3/2020,30,2,31,10,31,CO,Good,1,Baik
5/4/2020,40,1,35,11,40,PM10,Good,1,Baik
5/5/2020,40,1,43,9,43,CO,Good,1,Baik
5/6/2020,34,2,62,15,62,CO,Moderate,2,Baik
5/7/2020,22,1,13,0,22,PM10,Good,1,Baik
5/8/2020,33,1,28,10,33,PM10,Good,1,Baik
5/9/2020,20,1,48,10,48,CO,Good,1,Baik
5/10/2020,7,1,15,0,15,CO,Good,1,Baik
5/11/2020,18,1,18,0,18,"CO, PM10",Good,1,Baik
5/12/2020,15,1,53,9,53,CO,Moderate,2,Baik
5/13/2020,22,1,30,1,30,CO,Good,1,Baik
5/14/2020,17,1,20,15,20,CO,Good,1,Baik
5/15/2020,21,1,19,4,21,PM10,Good,1,Baik
5/16/2020,15,1,15,4,15,"CO, PM10",Good,1,Baik
5/17/2020,17,1,14,3,17,PM10,Good,1,Baik
5/18/2020,21,1,27,0,27,CO,Good,1,Baik
5/19/2020,16,2,42,11,42,CO,Good,1,Baik
5/20/2020,10,2,14,0,14,CO,Good,1,Baik
5/21/2020,22,1,36,0,36,CO,Good,1,Baik
5/22/2020,14,1,33,14,33,CO,Good,1,Baik
5/23/2020,30,1,42,14,42,CO,Good,1,Baik
5/24/2020,28,1,22,0,28,PM10,Good,1,Baik
5/25/2020,20,1,23,0,23,CO,Good,1,Baik
5/26/2020,10,1,14,0,14,CO,Good,1,Baik
5/27/2020,7,1,14,0,14,CO,Good,1,Baik
